ENRICHMENT_Extract_SA_Public_Holiday_2020_2024,,,,,,,,,,,
date,year,day_name,is_holiday,holiday_name,holiday_scope,holiday_block,holiday_source_basis,long_weekend_flag,day_before_full_day_holiday_flag,day_after_full_day_holiday_flag,holiday_related_flag
11/4/2020,2020,Saturday,1,Easter Saturday,full_day,Easter,official,Yes,No,Yes,Yes
12/4/2020,2020,Sunday,0,,,,,No,Yes,Yes,Yes
13/4/2020,2020,Monday,1,Easter Monday,full_day,Easter,official,Yes,No,No,Yes
14/4/2020,2020,Tuesday,0,,,,,No,No,Yes,Yes
15/4/2020,2020,Wednesday,0,,,,,No,No,No,No
16/4/2020,2020,Thursday,0,,,,,No,No,No,No
17/4/2020,2020,Friday,0,,,,,No,No,No,No
18/4/2020,2020,Saturday,0,,,,,No,No,No,No
19/4/2020,2020,Sunday,0,,,,,No,No,No,No
20/4/2020,2020,Monday,0,,,,,No,No,No,No
21/4/2020,2020,Tuesday,0,,,,,No,No,No,No
22/4/2020,2020,Wednesday,0,,,,,No,No,No,No
23/4/2020,2020,Thursday,0,,,,,No,No,No,No
24/4/2020,2020,Friday,0,,,,,No,Yes,No,Yes
25/4/2020,2020,Saturday,1,ANZAC Day,full_day,ANZAC Day,official,No,No,No,Yes
26/4/2020,2020,Sunday,0,,,,,No,No,Yes,Yes
27/4/2020,2020,Monday,0,,,,,No,No,No,No
28/4/2020,2020,Tuesday,0,,,,,No,No,No,No
29/4/2020,2020,Wednesday,0,,,,,No,No,No,No
30/4/2020,2020,Thursday,0,,,,,No,No,No,No
1/5/2020,2020,Friday,0,,,,,No,No,No,No
2/5/2020,2020,Saturday,0,,,,,No,No,No,No
3/5/2020,2020,Sunday,0,,,,,No,No,No,No
4/5/2020,2020,Monday,0,,,,,No,No,No,No
5/5/2020,2020,Tuesday,0,,,,,No,No,No,No
6/5/2020,2020,Wednesday,0,,,,,No,No,No,No
7/5/2020,2020,Thursday,0,,,,,No,No,No,No
8/5/2020,2020,Friday,0,,,,,No,No,No,No
9/5/2020,2020,Saturday,0,,,,,No,No,No,No
10/5/2020,2020,Sunday,0,,,,,No,No,No,No
11/5/2020,2020,Monday,0,,,,,No,No,No,No
12/5/2020,2020,Tuesday,0,,,,,No,No,No,No
13/5/2020,2020,Wednesday,0,,,,,No,No,No,No
14/5/2020,2020,Thursday,0,,,,,No,No,No,No
15/5/2020,2020,Friday,0,,,,,No,No,No,No
16/5/2020,2020,Saturday,0,,,,,No,No,No,No
17/5/2020,2020,Sunday,0,,,,,No,No,No,No
18/5/2020,2020,Monday,0,,,,,No,No,No,No
19/5/2020,2020,Tuesday,0,,,,,No,No,No,No
20/5/2020,2020,Wednesday,0,,,,,No,No,No,No
21/5/2020,2020,Thursday,0,,,,,No,No,No,No
22/5/2020,2020,Friday,0,,,,,No,No,No,No
23/5/2020,2020,Saturday,0,,,,,No,No,No,No
24/5/2020,2020,Sunday,0,,,,,No,No,No,No
25/5/2020,2020,Monday,0,,,,,No,No,No,No
